id,cluster
train_0,10
train_1,8
train_2,13
train_3,10
train_4,5
train_5,11
train_6,15
train_7,10
train_8,10
train_9,10
train_10,10
train_11,10
train_12,7
train_13,1
train_14,5
train_15,1
train_16,13
train_17,7
train_18,19
train_19,2
train_20,1
train_21,13
train_22,10
train_23,13
train_24,10
train_25,10
train_26,10
train_27,13
train_28,9
train_29,13
train_30,8
train_31,10
train_32,2
train_33,13
train_34,7
train_35,10
train_36,10
train_37,3
train_38,10
train_39,10
train_40,6
train_41,10
train_42,18
train_43,10
train_44,11
train_45,5
train_46,13
train_47,13
train_48,13
train_49,9
train_50,17
train_51,9
train_52,15
train_53,10
train_54,16
train_55,13
train_56,5
train_57,3
train_58,13
train_59,11
train_60,14
train_61,2
train_62,17
train_63,5
train_64,5
train_65,13
train_66,18
train_67,7
train_68,15
train_69,18
train_70,16
train_71,10
train_72,18
train_73,10
train_74,10
train_75,10
train_76,16
train_77,7
train_78,10
train_79,19
train_80,19
train_81,9
train_82,10
train_83,8
train_84,8
train_85,10
train_86,13
train_87,7
train_88,1
train_89,18
train_90,2
train_91,14
train_92,10
train_93,3
train_94,10
train_95,13
train_96,16
train_97,2
train_98,10
train_99,19
train_100,18
train_101,0
train_102,13
train_103,13
train_104,11
train_105,5
train_106,0
train_107,8
train_108,3
train_109,19
train_110,17
train_111,10
train_112,19
train_113,1
train_114,7
train_115,19
train_116,15
train_117,14
train_118,10
train_119,12
train_120,13
train_121,17
train_122,8
train_123,9
train_124,15
train_125,10
train_126,1
train_127,18
train_128,19
train_129,15
train_130,13
train_131,1
train_132,1
train_133,10
train_134,3
train_135,18
train_136,5
train_137,3
train_138,10
train_139,1
train_140,17
train_141,12
train_142,13
train_143,17
train_144,5
train_145,2
train_146,15
train_147,10
train_148,7
train_149,10
train_150,7
train_151,3
train_152,8
train_153,15
train_154,9
train_155,7
train_156,13
train_157,8
train_158,7
train_159,2
train_160,14
train_161,17
train_162,1
train_163,13
train_164,14
train_165,13
train_166,6
train_167,13
train_168,13
train_169,18
train_170,17
train_171,2
train_172,3
train_173,6
train_174,11
train_175,10
train_176,18
train_177,2
train_178,13
train_179,6
train_180,13
train_181,11
train_182,17
train_183,11
train_184,3
train_185,19
train_186,2
train_187,10
train_188,13
train_189,18
train_190,13
train_191,13
train_192,4
train_193,7
train_194,17
train_195,6
train_196,10
train_197,0
train_198,6
train_199,7
train_200,17
train_201,3
train_202,15
train_203,13
train_204,0
train_205,13
train_206,1
train_207,10
train_208,14
train_209,13
train_210,13
train_211,10
train_212,10
train_213,10
train_214,13
train_215,8
train_216,10
train_217,9
train_218,17
train_219,10
train_220,10
train_221,10
train_222,1
train_223,13
train_224,7
train_225,13
train_226,10
train_227,13
train_228,1
train_229,10
train_230,10
train_231,13
train_232,10
train_233,17
train_234,10
train_235,4
train_236,10
train_237,13
train_238,10
train_239,10
train_240,13
train_241,3
train_242,10
train_243,10
train_244,13
train_245,10
train_246,19
train_247,9
train_248,13
train_249,13
train_250,10
train_251,3
train_252,10
train_253,13
train_254,7
train_255,10
train_256,8
train_257,1
train_258,10
train_259,4
train_260,9
train_261,10
train_262,15
train_263,13
train_264,4
train_265,10
train_266,7
train_267,2
train_268,1
train_269,10
train_270,15
train_271,10
train_272,7
train_273,10
train_274,13
train_275,0
train_276,10
train_277,13
train_278,12
train_279,10
train_280,13
train_281,1
train_282,13
train_283,13
train_284,13
train_285,10
train_286,10
train_287,19
train_288,13
train_289,1
train_290,13
train_291,3
train_292,18
train_293,10
train_294,18
train_295,12
train_296,6
train_297,8
train_298,0
train_299,6
train_300,12
train_301,2
train_302,3
train_303,7
train_304,12
train_305,18
train_306,16
train_307,2
train_308,10
train_309,10
train_310,10
train_311,10
train_312,18
train_313,2
train_314,3
train_315,6
train_316,9
train_317,4
train_318,13
train_319,13
train_320,16
train_321,1
train_322,10
train_323,12
train_324,13
train_325,17
train_326,10
train_327,16
train_328,13
train_329,16
train_330,9
train_331,13
train_332,4
train_333,1
train_334,12
train_335,15
train_336,11
train_337,10
train_338,6
train_339,2
train_340,3
train_341,15
train_342,19
train_343,7
train_344,15
train_345,1
train_346,2
train_347,17
train_348,12
train_349,0
train_350,17
train_351,13
train_352,5
train_353,17
train_354,7
train_355,5
train_356,12
train_357,14
train_358,7
train_359,1
train_360,19
train_361,10
train_362,5
train_363,7
train_364,17
train_365,7
train_366,13
train_367,13
train_368,17
train_369,7
train_370,13
train_371,3
train_372,19
train_373,10
train_374,16
train_375,10
train_376,3
train_377,13
train_378,17
train_379,9
train_380,7
train_381,2
train_382,12
train_383,10
train_384,0
train_385,2
train_386,10
train_387,13
train_388,19
train_389,5
train_390,3
train_391,13
train_392,19
train_393,15
train_394,8
train_395,16
train_396,11
train_397,5
train_398,17
train_399,14
train_400,5
train_401,18
train_402,4
train_403,17
train_404,10
train_405,15
train_406,4
train_407,15
train_408,18
train_409,7
train_410,10
train_411,10
train_412,17
train_413,17
train_414,2
train_415,13
train_416,15
train_417,3
train_418,10
train_419,15
train_420,10
train_421,9
train_422,7
train_423,8
train_424,1
train_425,4
train_426,13
train_427,13
train_428,15
train_429,4
train_430,13
train_431,13
train_432,7
train_433,1
train_434,13
train_435,9
train_436,0
train_437,1
train_438,8
train_439,10
train_440,13
train_441,11
train_442,15
train_443,19
train_444,17
train_445,17
train_446,17
train_447,19
train_448,13
train_449,2
train_450,13
train_451,19
train_452,11
train_453,4
train_454,11
train_455,15
train_456,0
train_457,17
train_458,13
train_459,2
train_460,8
train_461,2
train_462,12
train_463,12
train_464,19
train_465,17
train_466,15
train_467,11
train_468,11
train_469,7
train_470,8
train_471,2
